AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-122,-11,11,-1094,469,14094
-122,-12,10,-1089,471,14121
-122,-12,11,-1089,464,14113
-122,-17,9,-1096,438,14111
-121,-12,11,-1091,481,14082
-121,-11,10,-1096,459,14097
-122,-14,10,-1058,495,14109
-119,-10,10,-1113,428,14077
-124,-15,9,-1067,486,14070
-122,-15,9,-1086,462,14082
-122,-13,11,-1067,471,14116
-118,-5,10,-1098,440,14001
-126,-27,11,-1108,454,14092
-120,-8,8,-1072,497,14116
-124,-27,11,-1194,486,14228
-118,-6,10,-1103,474,14140
-118,0,9,-1118,466,14082
-122,-15,10,-1106,457,14080
-122,-13,11,-1096,471,14106
-121,-10,10,-1079,466,14125
-122,-11,10,-1089,474,14089
-123,-12,9,-1098,464,14099
-120,-11,11,-1103,447,14149
-120,-7,10,-1070,478,14094
-123,-16,9,-1115,459,14130
-121,-13,10,-1089,452,14113
-122,-11,9,-1086,497,14085
-123,-15,9,-1098,459,14111
-119,-1,10,-1110,440,14135
-123,-18,9,-1096,507,14152
-120,-6,10,-1070,450,14121
-120,-7,11,-1127,493,14152
-126,-24,8,-1058,433,14068
-119,-2,10,-1082,466,14109
-121,-13,11,-1108,486,14094
-124,-26,11,-1137,464,14180
-120,-8,7,-1067,469,14132
-120,-11,10,-1120,464,14092
-122,-12,8,-1079,478,14123
-120,-14,10,-1156,459,14207
-120,-9,9,-1072,483,14058
-123,-9,9,-1074,423,14092
-120,-9,10,-1113,505,14075
-122,-16,10,-1086,457,14156
-120,-13,10,-1067,490,14125
-118,-3,9,-1118,435,14116
-124,-19,10,-1060,486,14041
-124,-21,10,-1060,464,14085
-121,-9,10,-1089,466,14089
-121,-9,10,-1120,416,14121
-123,-14,11,-1082,474,14087
-120,-11,11,-1084,464,14099
-119,-10,9,-1082,469,14113
-120,-13,10,-1120,438,14099
-122,-11,10,-1086,488,14104
-120,-11,9,-1113,445,14104
-121,-12,10,-1120,438,14123
-118,-8,9,-1137,474,14147
-120,-10,10,-1158,438,14116
-120,-16,12,-1089,493,14092
-121,-14,9,-1074,497,14176
-121,-8,8,-1125,442,14080
-123,-23,11,-1043,469,14087
-119,-5,9,-1106,483,14044
-124,-18,10,-1084,440,14089
-120,-6,10,-1108,457,14116
-120,-11,9,-1113,464,14111
-124,-19,11,-1108,447,14089
-120,-9,9,-1089,474,14109
-123,-17,11,-1134,450,14125
-123,-14,10,-1053,490,14085
-122,-8,9,-1098,462,14113
-122,-17,10,-1072,435,14051
-120,-5,9,-1058,464,14063
-120,-6,10,-1106,442,14075
-122,-18,10,-1115,488,14142
-120,-5,9,-1063,474,14132
-120,-2,11,-1115,452,14099
-121,-16,10,-1125,462,14082
-120,-4,10,-1072,478,14128
-120,-7,9,-1144,459,14092
-123,-19,9,-1101,469,14099
-119,-5,10,-1118,421,14125
-122,-9,11,-1113,471,14121
-121,-13,10,-1137,474,14111
-121,-15,12,-1103,462,14140
-122,-2,9,-1036,486,14092
-117,9,10,-1113,433,14030
-122,-8,10,-1127,471,14061
-122,-15,10,-1053,538,14149
-122,-11,9,-1122,430,14101
-120,-10,11,-1063,505,14089
-120,-13,8,-1113,440,14106
-121,-13,11,-1103,481,14085
